model_id,layer_index,n_layers,relative_depth,r2_b,beta,s,r2_eps
EleutherAI/pythia-12b-deduped,18,36,0.5,-0.10757469849314716,-0.0038003626867720896,0.006268712267457021,0.463928794026639
EleutherAI/pythia-12b-deduped,17,36,0.5277777777777778,-0.11164086553998831,-0.0038615686522525386,0.006268712267457021,0.4362923503768795
EleutherAI/pythia-12b-deduped,16,36,0.5555555555555556,-0.12185396816841698,-0.003688676572804264,0.006268712267457021,0.41699665596448565
EleutherAI/pythia-12b-deduped,15,36,0.5833333333333334,-0.14064976112412797,-0.0036916057831584523,0.006268712267457021,0.4214303863603497
EleutherAI/pythia-12b-deduped,14,36,0.6111111111111112,-0.12249188448263948,-0.0037741946748112193,0.006268712267457021,0.405172144647447
EleutherAI/pythia-12b-deduped,13,36,0.6388888888888888,-0.11612057564342759,-0.0037164055847995346,0.006268712267457021,0.4062250349304499
EleutherAI/pythia-12b-deduped,12,36,0.6666666666666666,-0.020459309815912263,-0.00047292993913211417,0.006268712267457021,0.39750965827283347
EleutherAI/pythia-12b-deduped,11,36,0.6944444444444444,-0.025555294715475796,-0.0008174676958502981,0.006268712267457021,0.4091401976595058
EleutherAI/pythia-12b-deduped,10,36,0.7222222222222222,-0.02086580092001955,-0.0012237470163190547,0.006268712267457021,0.39759195097867184
EleutherAI/pythia-12b-deduped,9,36,0.75,-0.01024691948872869,-0.0017652476490480518,0.006268712267457021,0.3852623937060219
EleutherAI/pythia-12b-deduped,8,36,0.7777777777777778,-0.004108313332421121,-0.0022922142953869422,0.006268712267457021,0.3578677554763199
EleutherAI/pythia-12b-deduped,7,36,0.8055555555555556,-0.006379376422938954,-0.0028117996271157836,0.006268712267457021,0.3440851260447879
EleutherAI/pythia-12b-deduped,6,36,0.8333333333333334,-0.0076445984336239725,-0.003087314896129194,0.006268712267457021,0.33371086229782565
EleutherAI/pythia-12b-deduped,5,36,0.8611111111111112,-0.007253813080377203,-0.003379431144592448,0.006268712267457021,0.32643568660816213
EleutherAI/pythia-12b-deduped,4,36,0.8888888888888888,-0.006086342542842571,-0.003760468600490444,0.006268712267457021,0.32052989384881236
EleutherAI/pythia-12b-deduped,3,36,0.9166666666666666,0.0008728621522603452,-0.0041941760513710645,0.006268712267457021,0.30215403043595435
EleutherAI/pythia-12b-deduped,2,36,0.9444444444444444,-0.0007979749607027742,-0.0045488595021537315,0.006268712267457021,0.2936848984840783
EleutherAI/pythia-12b-deduped,1,36,0.9722222222222222,0.001733371401477335,-0.004690158605384063,0.006268712267457021,0.2934184493957426
EleutherAI/pythia-12b-deduped,0,36,1.0,-0.01024879030283321,-0.003156268782806809,0.006268712267457021,0.2485118491285414
HuggingFaceTB/SmolLM3-3B,35,36,0.027777777777777776,0.0580420016618729,-0.02736717932333318,0.021108535982304028,0.4390215276928934
HuggingFaceTB/SmolLM3-3B,34,36,0.05555555555555555,0.17449865302836398,-0.031151931567508024,0.021108535982304028,0.4228815678537381
HuggingFaceTB/SmolLM3-3B,33,36,0.08333333333333333,0.2538287698429945,-0.031176790046112714,0.021108535982304028,0.41791659926336
HuggingFaceTB/SmolLM3-3B,32,36,0.1111111111111111,0.27376958721873723,-0.030817421355590385,0.021108535982304028,0.4509827485992274
HuggingFaceTB/SmolLM3-3B,31,36,0.1388888888888889,0.28261521449768356,-0.02763902267079566,0.021108535982304028,0.44524408790396675
HuggingFaceTB/SmolLM3-3B,30,36,0.16666666666666666,0.2755758401886014,-0.024418615250274382,0.021108535982304028,0.42987859437637477
HuggingFaceTB/SmolLM3-3B,29,36,0.19444444444444445,0.3485190658695888,-0.022225016769396425,0.021108535982304028,0.42843524073283346
HuggingFaceTB/SmolLM3-3B,28,36,0.2222222222222222,0.2958108339299824,-0.023696953036710093,0.021108535982304028,0.43823357156614884
HuggingFaceTB/SmolLM3-3B,27,36,0.25,0.3170279859971098,-0.025887863918366102,0.021108535982304028,0.45343636869856574
HuggingFaceTB/SmolLM3-3B,26,36,0.2777777777777778,0.3568804121406616,-0.023465872044678846,0.021108535982304028,0.46793631138344616
HuggingFaceTB/SmolLM3-3B,25,36,0.3055555555555556,0.37204816512201877,-0.025524507796657173,0.021108535982304028,0.48989453503042657
HuggingFaceTB/SmolLM3-3B,24,36,0.3333333333333333,0.3475442358235429,-0.025453589136389235,0.021108535982304028,0.4817749523148668
HuggingFaceTB/SmolLM3-3B,23,36,0.3611111111111111,0.390507459321187,-0.02306280862750363,0.021108535982304028,0.48722991413327055
HuggingFaceTB/SmolLM3-3B,22,36,0.3888888888888889,0.4092895410798716,-0.02310372085455105,0.021108535982304028,0.49033763421991217
HuggingFaceTB/SmolLM3-3B,21,36,0.4166666666666667,0.4027014390853847,-0.02300861301850373,0.021108535982304028,0.49241179474664487
